文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B280051,久保弘幸・國本綾子・竹中英典,くぼひろゆき・くにもとあやこ・たけなかひでのり,1996,,東播磨地域における旧石器新資料,旧石器考古学52（旧石器文化談話会）
B280052,久保弘幸・藤田淳・山口卓也,くぼひろゆき・ふじたきよし・やまぐちたくや,1987,,兵庫県における最近の旧石器時代遺跡調査の動向,日本考古学協会1987年度大会研究発表要旨
B280053,久保弘幸・古谷章子,くぼひろゆき・ふるやあやこ,2004,,三田市域における旧石器時代遺跡について,市史研究さんだ7号
B280054,黒田庄町教育委員会,くろだしょうちょうきょういくいいんかい,1997,,,兵庫県多可郡黒田庄町遺跡分布地図　黒田庄町埋蔵文化財調査報告書1
B280055,上月昭信,こうづきあきのぶ,1980,,志方町およびその周辺と加西市における遺跡の立地と遺物散布状況,旧石器考古学21（旧石器文化談話会）
B280056,上月昭信,こうづきあきのぶ,1992,,日岡山遺跡,兵庫県史考古資料編
B280057,神戸市教育委員会,こうべしきょういくいいんかい,1988,,,昭和60年度　神戸市埋蔵文化財年報
B280058,神戸市教育委員会,こうべしきょういくいいんかい,1994,,,平成3年度神戸市埋蔵文化財年報
B280059,神戸市教育委員会,こうべしきょういくいいんかい,1997,,,神戸市埋蔵文化財分布図
B280060,神戸女子商業高等学校歴史クラブ,こうべじょししょうぎょうこうとうがっこうれきしくらぶ,1963,,,大歳山－第1次発掘調査概要－　Culture特別号
B280061,神戸新聞社,こうべしんぶんしゃ,1962,,,家島群島　家島群島総合学術調査報告書
B280062,五色町史編纂委員会,ごしきちょうしへんさんいいんかい,1986,,,五色町史
B280063,小林博昭,こばやしひろあき,1992,,兵庫県家島町男鹿島大山神社遺跡採集の旧石器,蒜山研究所研究報告第18号（岡山理科大学）
B280064,小林博昭,こばやしひろあき,1993,,兵庫県家島町男鹿島大山神社遺跡のナイフ形石器,岡山理科大学紀要第28号
B280065,小林博昭・鎌木義昌,こばやしひろあき・かまきよしまさ,1992,,逆池遺跡,兵庫県史考古資料編
B280066,（財）古代学協会,こだいがくきょうかい,1986,,,兵庫県三田市溝口遺跡－北摂工業地区－
B280067,坂元直柔,さかもとなおやす,1972,,先土器時代・縄文時代遺跡地名表（神戸編）,武陽史学13
B280068,佐藤良二,さとうりょうじ,1980,a,志方町・加西市および周辺の旧石器,旧石器考古学21（旧石器文化談話会）
B280069,佐藤良二,さとうりょうじ,1980,b,（付）兵庫県旧石器時代遺跡分布図および地名表,旧石器考古学21（旧石器文化談話会）
B280070,佐藤良二,さとうりょうじ,1980,c,加西市倉谷大池採集の尖頭器,兵庫考古11
B280071,佐藤良二,さとうりょうじ,1981,,播磨中部丘陵周辺の旧石器,旧石器考古学22（旧石器文化談話会）
B280072,沢田ひで子,さわだひでこ,1974,,神戸の古代学習会（旧石器・縄文時代）,神戸古代史1-3
B280073,三田市教育委員会,さんだしきょういくいいんかい,1987,,,天神遺跡－公共下水道管埋設にかかる発掘調査報告書（Ⅰ）－　兵庫県三田市文化財調査報告第3冊
B280074,志方町教育委員会,しかたちょうきょういくいいんかい,1974,,,古代の志方　志方町遺跡調査報告その1
B280075,島田清,しまだきよし,1933,,林堂石器時代遺蹟地,播磨国国分寺附近遺蹟踏査案内
B280076,島田清,しまだきよし,1949,,所謂「明石原人」発掘現場を見学して,志佐波6
B280077,白崎昭一郎,しらさきしょういちろう,2004,,,「明石人」と直良信夫（雄山閣）
B280078,新修神戸市史編集委員会,しんしゅうこうべししへんしゅういいんかい,1989,,,新修神戸市史　歴史篇Ⅰ　自然・考古（神戸市）
B280079,杉山博久,すぎやまひろひさ,1972,,明石原人腰骨についての故松村瞭博士の書信,小田原考古学研究会会報6
B280080,洲本市教育委員会・兵庫県教育委員会,すもとしきょういくいいんかい・ひょうごけんきょういくいいんかい,2003,,,二つ石地区県営ほ場整備事業に伴う発掘調査報告書二ツ石戎ノ前遺跡
B280081,瀬戸谷皓,せとたにひろし,2002,,,シリーズ但馬Ⅰ　但馬の古代（但馬文化協会）
B280082,芹沢長介,せりざわちょうすけ,1970,,兵庫県西八木出土旧石器の再検討,考古学研究17-1
B280083,太子町史編集専門委員会,たいしちょうしへんしゅうせんもんいいんかい,1989,,,太子町史第三巻
B280084,太子町史編集専門委員会,たいしちょうしへんしゅうせんもんいいんかい,1996,, ,太子町史第一巻
B280085,高井冬二・棚井敏雄,たかいふゆじ・たないとしお,1949,,所謂「ニッポナントロプス」の産出地層に就て,人類学雑誌60-3
B280086,高松龍暉,たかまつりゅうき,,,石器の使用された時代,竹野町史
B280087,高松龍暉・山口卓也,たかまつりゅうき・やまぐちたくや,1981,,但馬地方における旧石器について,兵庫考古13（兵庫考古研究会）
B280088,高松龍暉・山口卓也,たかまつりゅうき・やまぐちたくや,1985,,但馬地方における旧石器について,兵庫考古21（兵庫考古研究会）
B280089,高松龍暉・山口卓也,たかまつりゅうき・やまぐちたくや,1992,,畑ヶ平遺跡群,兵庫県史考古資料編
B280090,竹村恵二・檀原徹,たけむらけいじ・だんはらとおる,1987,,遺跡土壌中の火山灰降灰層準の認定－兵庫県篠山板井遺跡を例として－,第四紀研究26巻第1号
B280091,竹本匠志,たけもとたくし,1980,,西山遺跡,鹿児49
B280092,龍野市教育委員会,たつのしきょういくいいんかい,1994,,,龍野市寄井遺跡　龍野市文化財調査報告13
B280093,龍野市史編集専門委員会,たつのししへんしゅうせんもんいいんかい,1978,,,龍野市史第一巻
B280094,龍野市立図書館,たつのしりつとしょかん,1988,,,郷土史たつの
B280095,田中徹・久保弘幸,たなかとおる・くぼひろゆき,1990,,兵庫県杉ヶ沢第13地点遺跡採集の石器,旧石器考古学41（旧石器文化談話会）
B280096,津名郡町村会,つなぐんちょうそんかい,1994,,,五色町遺跡分布図
B280097,豊岡市教育委員会・豊岡市立郷土資料館,とよおかしきょういくいいんかい・とよおかしりつきょうどしりょうかん,1995,,,森尾大内谷古墳群－豊岡中核工業団地造成に伴う発掘調査報告書－　豊岡市文化財調査報告書30
B280098,鳥居龍蔵,とりいりゅうぞう,1931,,直良氏播磨発見の所謂旧石器時代の石器に就いて,上代文化6
B280099,直良信夫,なおらのぶお,1931,a,播磨国西八木海岸洪積層中発見の人類遺品（一）,人類学雑誌46-5
B280100,直良信夫,なおらのぶお,1931,b,播磨国西八木海岸洪積層中発見の人類遺品（二）,人類学雑誌46-6
B280101,直良信夫,なおらのぶお,1954,,,日本旧石器時代の研究　早稲田大学考古学研究室報告2
B280102,直良信夫,なおらのぶお,1985,,,日本旧石器人の探求（六興出版）
B280103,直良博人,なおらひろと,1983,,明石原人の再検討－遠藤及び馬場による（明石人骨現代人説）についての批判私見－,人類学雑誌91-4
B280104,直良博人,なおらひろと,1984,,明石人骨の思い出,旧石器考古学28（旧石器文化談話会）
B280105,中町教育委員会,なかちょうきょういくいいんかい,2004,,,中町の遺跡Ⅱ　中町文化財報告30
B280106,西口和彦,にしぐちかずひこ,1982,,坊主山遺跡,兵庫県埋蔵文化財調査年報昭和55年度
B280107,西宮市教育委員会,にしのみやしきょういくいいんかい,1975,,,仁川五ヶ山弥生遺跡－№4地点の調査報告－
B280108,西宮市教育委員会,にしのみやしきょういくいいんかい,1977,a,,老松古墳発掘調査終了報告・剣谷3号墳発掘調査終了報告　西宮市文化財調査記録1977-1
B280109,西宮市教育委員会,にしのみやしきょういくいいんかい,1977,b,,苦楽園の古墳－発掘調査概報－　文化財資料第18号
B280110,西脇市教育委員会,にしわきしきょういくいいんかい,2004,,鹿野宮ノ前遺跡　比延前田遺跡Ⅲ,西脇市文化財調査報告書第14集
B280111,西脇市郷土資料館,にしわきしきょうどしりょうかん,2005,,,西脇この逸品　歴史資料と民具資料　平成16年度特別展
B280112,波毛康宏,はけやすひろ,1985,,淡路の旧石器と有舌尖頭器,竹ベラ5
B280113,橋本久,はしもとひさし,1975,,文化のあけぼの,宝塚市史第1巻
B280114,橋本正幸,はしもとまさゆき,1978,,川西市加茂遺跡発見のナイフ形石器と尖頭器,古代学研究86（古代学研究会）
B280115,長谷部言人,はせべことんど,1948,,明石市附近西八木最新世前期の堆積出土人類腰骨（石膏型）の原始性に就いて,人類学雑誌60-1
B280116,馬場悠男,ばばひさお,1984,,吉岡氏の批判2に対する回答－明石寛骨の形態と復原－,人類学雑誌92-3
B280117,春成秀爾,はるなりひでじ,1962,,明石で無土器遺跡を発見,考古学研究8-4（考古学研究会）
B280118,春成秀爾,はるなりひでじ,1980,,明石市西脇遺跡の旧石器,旧石器考古学21（旧石器文化談話会）
B280119,春成秀爾,はるなりひでじ,1981,a,神戸市大歳山遺跡の旧石器,旧石器考古学22（旧石器文化談話会）
B280120,春成秀爾,はるなりひでじ,1981,b,明石市寺山遺跡の旧石器,旧石器考古学23（旧石器文化談話会）
B280121,春成秀爾,はるなりひでじ,1984,,明石人問題,旧石器考古学29（旧石器文化談話会）
B280122,春成秀爾,はるなりひでじ,1984,,金関先生と明石人骨,旧石器考古学28（旧石器文化談話会）
B280123,春成秀爾,はるなりひでじ,1985,,西八木出土「古人類前頭骨」の初歩的検討,旧石器考古学31（旧石器文化談話会）
B280124,春成秀爾ほか,はるなりひでじ,1987,,明石市西八木海岸の発掘調査,国立歴史民俗博物館研究報告13
B280125,春成秀爾,はるなりひでじ,1987,,兵庫県西八木遺跡,日本考古学年報38
B280126,春成秀爾,はるなりひでじ,1992,,西八木遺跡,兵庫県史考古資料編
B280127,東浦町史編集委員会,ひがしうらちょうしへんしゅういいんかい,2000,,,東浦町史
B280128,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1968,a,,兵庫県埋蔵文化財特別地域遺跡分布地図及び地名表1
B280129,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1968,b,,兵庫県埋蔵文化財特別地域遺跡分布地図及び地名表2
B280130,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1987,,,竜子向イ山　兵庫県文化財調査報告第51冊
B280131,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1988,,,青野ダム建設に伴う発掘調査報告書（2）　兵庫県文化財調査報告書第62冊
B280132,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1990,a,,七日市遺跡（Ⅰ）（旧石器時代遺跡の調査）　兵庫県文化財調査報告書第72-1冊
B280133,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1990,b,,七日市遺跡（Ⅱ）　兵庫県文化財調査報告書第86冊
B280134,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,a,,長磯遺跡－満願寺川災害復旧助成工事に伴う埋蔵文化財発掘調査報告書－　兵庫県文化財調査報告書第85冊
B280135,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,b, ,有年原・田中遺跡　兵庫県文化財調査報告第87冊
B280136,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,c,,国領遺跡発掘調査報告書（蓮町・井森杉・石風呂地区の調査）　兵庫県文化財調査報告書第93冊
B280137,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,d,,杉ヶ沢遺跡　兵庫県文化財調査報告第95冊
B280138,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,e,,板井寺ヶ谷遺跡－旧石器時代の調査－　兵庫県文化財調査報告書第96冊
B280139,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1991,f,,長尾・沖田遺跡（Ⅰ）　兵庫県文化財調査報告書第100冊
B280140,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1993,a,,岡遺跡　兵庫県文化財調査報告第119冊
B280141,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1993,b,,国領遺跡（Ⅱ）　兵庫県文化財調査報告第122冊
B280142,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1993,c,,西紀之部遺跡　兵庫県文化財調査報告第124冊
B280143,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1993,d,,浄谷遺跡・南山古墳群・玉津田中遺跡南大山地点－一般国道175号線改良工事に伴う埋蔵文化財調査報告書－　兵庫県文化財調査報告書第121冊
B280144,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1993,e,,北摂ニュータウン内遺跡調査報告書Ⅲ　兵庫県文化財調査報告書第125冊
B280145,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1994,,,与呂木遺跡　兵庫県文化財調査報告第133冊
B280146,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1998,a,,本州四国連絡道路建設に伴う埋蔵文化財発掘調査報告Ⅴ　まるやま遺跡
B280147,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1998,b,,山宮遺跡－農林漁業用揮発油税財源身替農道整備事業に伴う調査報告書－　兵庫県文化財調査報告書第172冊
B280148,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1998,c,,佃遺跡－本州四国連絡道路建設に伴う埋蔵文化財調査報告書Ⅲ－　兵庫県文化財調査報告書第176冊
B280149,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1998,d,,平成９年度年報
B280150,兵庫県教育委員会,ひょうごけんきょういくいいんかい,1999,,,北摂ニュータウン内遺跡調査報告書Ⅳ　兵庫県文化財調査報告書第185冊
B280151,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2000,a,,亀田遺跡（第２分冊）－亀田遺跡第Ⅰ地点の調査－　兵庫県文化財調査報告第209冊
B280152,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2000,b,,丸塚遺跡発掘調査報告書　兵庫県文化財調査報告第206冊
B280153,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2000,c,,北摂ニュータウン内遺跡調査報告書Ⅶ　兵庫県文化財調査報告書第200冊
B280154,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2001,,,荒田神社裏遺跡－主要地方道加美山崎線緊急道路整備事業に伴う調査報告書－　兵庫県文化財調査報告書第221冊
B280155,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2002,a,,勝手野古墳群－勝手野遺跡　勝手野古墳群　勝手野窯跡群－　兵庫県文化財調査報告書第239冊
B280156,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2002,b,,一般国道28号岩屋改良に伴う埋蔵文化財発掘調査報告Ⅰ　まるやま遺跡Ⅱ
B280157,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2004,a,,筒井遺跡・庵の谷遺跡・大寺山古墳群・小田池遺跡－一般県道村岡竹野線道路改良工事に伴う調査報告書－　兵庫県文化財調査報告書第267冊
B280158,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2004,b,,七日市遺跡（Ⅲ）旧石器時代の調査　兵庫県文化財調査報告272冊
B280159,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2004,c,,大中遺跡－史跡大中遺跡内容確認調査（第19次・20次）報告書Ⅰ－　兵庫県文化財調査報告書第273冊
B280160,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2004,d,,兵庫県遺跡地図第1分冊（発掘調査の手引き・遺跡地図地名表）/第2分冊（遺跡分布地図）
B280161,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2005,　,,平成15年度年報
B280162,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2005,a,,下大部岡ノ山遺跡　兵庫県文化財調査報告書第274冊
B280163,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2006,,,市辺遺跡　兵庫県埋蔵文化財調査報告第304冊
B280164,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2007,,,南本町遺跡・北村遺跡　兵庫県文化財調査報告書第320冊
B280165,兵庫県教育委員会,ひょうごけんきょういくいいんかい,2009,,,坂元遺跡Ⅱ　兵庫県文化財調査報告書第366冊
B280166,兵庫県史編集専門委員会,ひょうごけんしへんしゅうせんもんいいんかい,1992,,,兵庫県史考古資料編
B280167,兵庫県立加古川東高校地理歴史考古学部,ひょうごけんりつかこがわひがしこうこうちりれきしこうこがくぶ,1965,,山之上遺跡,ナイル12
B280168,深井明比古,ふかいあきひこ,1980,,兵庫における先土器時代終末から縄文時代草創期の石器群の様相－特に藤岡山遺跡・伊府遺跡を中心として－,藤井祐介君追悼記念考古学論叢（藤井祐介君を偲ぶ会）
B280169,深井明比古,ふかいあきひこ,1992,,藤岡山遺跡,兵庫県史考古資料編
B280170,福井英治,ふくいえいじ,1968,,新築池周辺採集の石器,明石高丘地区埋蔵文化財調査略報
B280171,藤井祐介・高島信之,ふじいゆうすけ・たかしまのぶゆき,1976,,明石市赤根川遺跡の調査,兵庫県埋蔵文化財調査集報第3集
B280172,藤井祐介・村川行弘,ふじいゆうすけ・むらかわゆきひろ,1976,,第一章　旧石器・縄文時代,新修芦屋市史資料編
B280173,藤田淳,ふじたきよし,1989,,西日本の姶良降灰以前の石器群,考古学ジャーナル309（ニューサイエンス社）
B280174,藤原清尚,ふじわらきよひさ,1978,,加古川市の石器Ⅰ－山之上遺跡の採集資料－,古代学研究88
B280175,藤原清尚,ふじわらきよひさ,1985,,加古川市山之上遺跡採集の石器－その石材利用の特色について－,末永先生米寿記念献呈論文集　乾
B280176,藤原清尚,ふじわらきよひさ,1990,,第1節　先土器時代の石器,播磨大中遺跡の研究（播磨町教育委員会）
B280177,藤原清尚,ふじわらきよひさ,1992,,山之上遺跡,兵庫県史考古資料編
B280178,藤原清尚・浅原重利,ふじわらきよひさ・あさはらしげとし,1980,,加古川市山之上遺跡採集の石器,旧石器考古学21（旧石器文化談話会）
B280179,堀江良弘ほか,ほりえよしひろ,1973,,郷土のあけぼの－加西の石器文化－,加西市文化財資料2
B280180,増田重信・春成秀爾,ますだしげのぶ・はるなりひでじ,1984,,播磨福本遺跡の石器,旧石器考古学28（旧石器文化談話会）
B280181,松藤和人,まつふじかずと,1987,,西日本におけるＡＴ下位の石器群,国立歴史民俗博物館研究報告13
B280182,松本正信,まつもとまさのぶ,1978,,飢えと呪術と掟の時代,龍野市史第一巻
B280183,松本正信,まつもとまさのぶ,2001,,考古学から見た御津町の原始・古代,御津町史第一巻
B280184,松本正信・安川豊史・春成秀爾,まつもとまさのぶ・やすかわとよふみ・はるなりひでじ,1982,,播磨南部採集の旧石器,旧石器考古学24（旧石器文化談話会）
B280185,真野脩（修）,まのおさむ,1974,,明石川流域の考古学研究現状と課題（１）（３）（４）,神戸古代史第1巻第1・4・5号
B280186,真野脩（修）,まのおさむ,1985,,縄文時代,明石市史資料（考古篇）第四集（明石市教育委員会）
B280187,真野脩（修）・稲原昭嘉,まのおさむ・いなはらあきよし,1987,,兵庫県高砂市阿弥陀町魚橋採集の石器,旧石器考古学35（旧石器文化談話会）
B280188,真野脩（修）・稲原昭嘉,まのおさむ・いなはらあきよし,1988,,兵庫県高砂市曽根町馬場坂採集の石器,旧石器考古学37（旧石器文化談話会）
B280189,溝上くみ・間壁葭子,みぞがみくみ・まかべよしこ,2002,,神鍋遺跡の尖頭器とその周辺の石器－和田長治氏採集資料より－,神女大史学第19号
B280190,御津町教育委員会,みつちょうきょういくいいんかい,1995,,,碇岩南山遺跡Ⅰ　御津町埋蔵文化財報告書１
B280191,三原郡広域事務組合,みはらぐんこういきじむくみあい,2001,,,三原郡埋蔵文化財発掘調査年報Ⅰ
B280192,三原郡史編纂委員会,みはらぐんしへんさんいいんかい,1979,,,三原郡史
B280193,三原慎吾,みはらしんご,2002,,丸山地点の尖頭器群,与呂木遺跡　兵庫県文化財調査報告第230冊
B280194,武藤誠,むとうまこと,1971,,,新修芦屋市史本篇（芦屋市）
B280195,武藤誠,むとうまこと,1976,,,新修芦屋市史資料編
B280196,村川行弘,むらかわゆきひろ,1966,,考古学からみた尼崎,尼崎市史第1巻（尼崎市）
B280197,村川行弘,むらかわゆきひろ,1967,,,田能（学生社）
B280198,村川行弘,むらかわゆきひろ,1996,,,兵庫県の考古学（吉川弘文館）
B280199,森岡秀人,もりおかひでと,1979,,朝日ヶ丘の先土器遺跡（芦屋遺跡めぐり3）,海技通信338（海技大学校）
B280200,森岡秀人,もりおかひでと,1985,,春成秀爾氏と明石人出土推定地発掘の勇断に思う,芦樋44
B280201,柳田俊男,やなぎだとしお,1977,,瀬戸内東部及び近畿地方における旧石器時代研究の現状と問題点－特に研究過程における方法論をめぐって－,プレリュード20
B280202,山口卓也,やまぐちたくや,1985,,旧石器時代後期,明石市史資料（考古篇）第四集（明石市教育委員会）
B280203,山口卓也,やまぐちたくや,1992,,板井寺ヶ谷遺跡,兵庫県史考古資料編
B280204,山口卓也・大下明,やまぐちたくや・おおしたあきら,1988,,兵庫県養父郡八鹿町八木西宮・大山田遺跡の旧石器・縄文時代の石器について,八木西宮遺跡・大山田遺跡　兵庫県八鹿町文化財調査報告書第７集
B280205,山口卓也・久保弘幸・藤田淳,やまぐちたくや・くぼひろゆき・ふじたきよし,1990,,丹波地方西部における旧石器時代集落－春日・七日市遺跡と板井・寺ヶ谷遺跡－,第四紀研究27-4
B280206,山口卓也・久保弘幸・藤田淳,やまぐちたくや・くぼひろゆき・ふじたきよし,1991,,近畿地方の様相－後期旧石器時代初頭からＡＴ降灰前後までの石器群－,石器文化研究3　シンポジウムＡＴ降灰以前の石器文化
B280207,山口卓也・橋本亮一,やまぐちたくや・はしもとりょういち,1976,,神戸市垂水区神出町五百蔵出土の先土器および縄文時代の遺物,武陽史学15
B280208,山口卓也・真野脩（修）,やまぐちたくや・まのおさむ,1980,,神戸市垂水区における旧石器,旧石器考古学21（旧石器文化談話会）
B280209,山中一郎・石橋峯幸,やまなかいちろう・いしばしみねゆき,1980,,兵庫県印南郡志方町（現加古川市志方町）岡山遺跡発掘調査報告,旧石器考古学21（旧石器文化談話会）
B280210,山中一郎・藤原清尚・上月昭信・田井恭一,やまなかいちろう・ふじわらきよひさ・こうづきあきのぶ・たいきょういち,1980,,,加古川市広尾東遺跡（加古川市教育委員会）
B280211,山本誠・山下史朗・守岡克倫,やまもとまこと・やましたしろう・もりおかかつのり,1998,,瀬戸内技法成立前夜の一様相－兵庫県七日市遺跡の調査成果から－,旧石器考古学56（旧石器文化談話会）
B280212,吉岡郁夫,よしおかいくお,1978,,明石市西八木出土人骨（寛骨）についての再検討,びぞん通信51
B280213,吉岡郁夫,よしおかいくお,1978,,明石原人に関する補遺,びぞん通信53
B280214,吉岡郁夫,よしおかいくお,1983,,明石人寛骨の形態－遠藤・馬場論文批判－,人類学雑誌91-4
B280215,吉岡郁夫,よしおかいくお,1984,,ふたたび明石人寛骨の形態について－遠藤・馬場論文批判2－,人類学雑誌92-3
B280216,六甲山麓遺跡調査会,ろっこうさんろくいせきちょうさかい,2001,,,西岡本遺跡
B280217,渡辺直経,わたなべなおつね,1950,,明石西郊含化石層に於ける骨の保存可能性,人類学雑誌61-4
B280218,渡辺仁,わたなべひとし,1949,,ニッポナントロプス層の自然破砕礫,人類学雑誌60-3
B290001,秋枝芳,あきえだかおる,1972,,奈良県橿原市川西町発見の有舌尖頭器,古代学研究第63号
B290002,明日香村教育委員会,あすかむらきょういくいいんかい,1988,,,明日香村遺跡調査概報昭和62年度
B290003,安達厚三,あだちこうぞう,1970,,奈良県宇陀郡宇陀川川底発見の有茎尖頭器,古代文化第22巻第3号
B290004,網干善教,あぼしよしのり,1977,,,忌部山遺跡発掘調査報告書
B290005,新井正夫・佐藤良二,あらいまさお・さとうりょうじ,1981,,奈良県香芝町堂ヶ谷遺跡－二上山北麓地域における新遺跡－,旧石器考古学23
B290006,有本昭子,ありもとあきこ,2000,,竹内遺跡採集のナイフ形石器,旧石器考古学59
B290007,王寺町教育委員会,おうじちょうきょういくいいんかい,2003,,久度南遺跡　市街地再開発事業にともなう試掘調査報告書,王寺町文化財調査報告書第3集
B290008,香芝市教育委員会,かしばしきょういくいいんかい,1993,,,郡ケ池遺跡Ⅱ（大坂山の関想定地）－中和幹線建設に伴う発掘調査概報－
B290009,香芝市教育委員会,かしばしきょういくいいんかい,1999,,桜ヶ丘第1地点遺跡－第10次発掘調査－,香芝市埋蔵文化財発掘調査概報11
B290010,香芝市教育委員会,かしばしきょういくいいんかい,2002,,二上山・関屋盆地における石器製作遺跡の調査－香芝市穴虫十丈坊地区宅地造成事業に伴う埋蔵文化財発掘調査報告書－,香芝市文化財調査報告書第３集
B290011,香芝市教育委員会,かしばしきょういくいいんかい,2004,,鶴峯荘第１地点遺跡,香芝市文化財調査報告書第５集
B290012,香芝市教育委員会,かしばしきょういくいいんかい,2006,,鶴峯荘第４地点遺跡発掘調査報告書,香芝市文化財調査報告書第７集
B290013,香芝市教育委員会,かしばしきょういくいいんかい,2007,,平地山遺跡サカイ遺跡－二上山麓におけるサスカイト原産地遺跡－,香芝市文化財調査報告書第８集
B290014,香芝市教育委員会,かしばしきょういくいいんかい,2008,,桜ヶ丘第１地点遺跡－第11次発掘調査報告書－,香芝市文化財調査報告書第10集
B290015,香芝町教育委員会,かしばちょうきょういくいいんかい,1987,,,昭和61年度桜ヶ丘第１地点遺跡第５次発掘調査概報
B290016,香芝町教育委員会,かしばちょうきょういくいいんかい,1988,,,昭和62年度桜ヶ丘第１地点遺跡第６次発掘調査概報
B290017,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,a,,昭和63年度鶴峯荘第３地点遺跡発掘調査概報
B290018,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,b,,瓦口森田遺跡発掘調査概報
B290019,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,c,,田尻峠－中和幹線建設事業にともなう発掘調査概報－
B290020,香芝町教育委員会,かしばちょうきょういくいいんかい,1990,,,平成元年度鶴峯荘第２地点遺跡発掘調査概報
B290021,香芝町教育委員会,かしばちょうきょういくいいんかい,1991,,,平成２年度堂ケ谷遺跡発掘調査概報
B290022,香芝町教育委員会・奈良県立橿原考古学研究所,かしばちょうきょういくいいんかい・ならけんりつかしはらこうこがくけんきゅうしょ,1983,,香芝町桜ヶ丘第1地点遺跡第3次発掘調査概報,奈良県遺跡調査概報1982年度第一分冊
B290023,香芝町教育委員会・奈良県立橿原考古学研究所,かしばちょうきょういくいいんかい・ならけんりつかしはらこうこがくけんきゅうしょ,1984,,香芝町桜ヶ丘第1地点遺跡第4次発掘調査概報,奈良県遺跡調査概報1983年度第一分冊
B290024,香芝町教育委員会・奈良県立橿原考古学研究所,かしばちょうきょういくいいんかい・ならけんりつかしはらこうこがくけんきゅうしょ,1985,,,昭和59年度鈴山城跡・鈴山遺跡発掘調査概報
B290025,久野邦雄・秋枝芳,くのくにお・あきえだかおる,1972,,二上山麓の石器,青陵第20号
B290026,久保邦江,くぼくにえ,2002,,奈良県における縄文時代草創期・早期の石器についての概要,縄文時代の石器－関西の縄文草創期・早期－
B290027,後藤優・長瀬潤一,ごとうまさる・ながせじゅんいち,1973,,二上山北麓における新知見の遺跡,プレリュード17
B290028,佐藤良二,さとうりょうじ,1981,,奈良県における有舌尖頭器の新資料,青陵第49号
B290029,佐藤良二,さとうりょうじ,1993,,香芝市石田遺跡発見の旧石器,ふたかみ１－1992（平成４）年度香芝市二上山博物館年報・紀要－
B290030,佐藤良二・有本雅己,さとうりょうじ・ありもとまさき,1984,,新庄町寺口採集の有舌尖頭器,青陵第54号
B290031,佐藤良二・森川実,さとうりょうじ・もりかわみのる,2004,,サヌカイト原産地における採掘址－二上山麓，サカイ遺跡・平地山遺跡発掘調査中間成果－,黒耀石文化研究第３号
B290032,島田政則・北村博義,しまだまさのり・きたむらひろよし,1990,,天理市布留遺跡出土のナイフ形石器,旧石器考古学40
B290033,清水真一・佐藤良二,しみずしんいち・さとうりょうじ,1988,,奈良県桜井市阿部丘陵出土のナイフ形石器,旧石器考古学37
B290034,市立五條文化博物館,しりつごじょうぶんかはくぶつかん,2004,,,市立五條文化博物館資料目録Ⅰ－堤昭二氏収集考古資料を中心に－
B290035,関川尚功・佐藤良二,せきがわひさのり・さとうりょうじ,1986,,奈良県三輪山麓採集の有舌尖頭器,旧石器考古学32
